Job ID, Arrival Time, Wait Time, Run Time, Response Time
4, 12, 4, 9, 4
7, 15, 7, 10, 7
6, 16, 8, 2, 8
9, 17, 9, 3, 9
12, 18, 10, 9, 10
11, 18, 14, 4, 14
16, 21, 15, 5, 15
14, 22, 18, 8, 18
19, 23, 19, 4, 19
18, 24, 24, 6, 24
25, 25, 27, 5, 27
24, 25, 29, 8, 29
22, 27, 31, 5, 31
27, 28, 34, 4, 34
29, 30, 38, 1, 38
30, 30, 40, 3, 40
35, 30, 46, 1, 46
39, 32, 50, 5, 50
40, 35, 65, 1, 65
50, 36, 66, 3, 66
59, 38, 78, 9, 78
51, 38, 80, 2, 80
57, 40, 86, 6, 86
69, 41, 93, 2, 93
61, 41, 97, 4, 97
66, 42, 98, 5, 98
74, 42, 100, 3, 100
68, 43, 103, 1, 103
71, 45, 113, 5, 113
70, 45, 115, 7, 115
83, 45, 117, 5, 117
79, 45, 121, 7, 121
82, 46, 124, 6, 124
92, 47, 129, 1, 129
90, 48, 132, 4, 132
88, 48, 136, 10, 136
87, 48, 140, 1, 140
100, 49, 147, 7, 147
86, 49, 149, 2, 149
102, 50, 152, 6, 152
89, 50, 154, 6, 154
93, 51, 163, 9, 163
98, 51, 165, 2, 165
111, 52, 170, 10, 170
116, 54, 180, 4, 180
109, 55, 185, 10, 185
