Job ID, Arrival Time, Wait Time, Run Time, Response Time,,,,CPU Utilization
1,2,0,8,0,,,,82.81938326
0,10,2,3,0,,,,
6,12,2,6,2,,,,
8,15,1,3,1,,,,
7,16,2,10,2,,,,
12,15,3,5,3,,,,
11,16,4,9,4,,,,
13,17,5,6,5,,,,
15,17,7,4,7,,,,
18,19,9,8,9,,,,
27,21,11,9,11,,,,
24,23,13,3,13,,,,
29,22,14,5,14,,,,
32,23,15,6,15,,,,
36,25,17,7,17,,,,
34,26,20,9,20,,,,
41,26,20,5,20,,,,
47,27,23,10,23,,,,
39,28,24,2,24,,,,
42,29,25,6,25,,,,
3,12,51,5,5,,,,
46,31,27,5,27,,,,
2,12,55,9,7,,,,
4,14,48,8,2,,,,
5,16,48,14,2,,,,
9,18,46,4,2,,,,
14,22,46,7,4,,,,
10,24,46,11,6,,,,
19,26,47,6,7,,,,
21,28,46,12,8,,,,
17,28,49,6,9,,,,
16,30,47,6,9,,,,
25,32,48,7,10,,,,
20,32,49,6,11,,,,
23,34,50,2,12,,,,
22,36,49,5,13,,,,
28,36,51,6,13,,,,
30,40,48,13,14,,,,
38,42,49,6,15,,,,
26,42,50,8,16,,,,
37,44,50,15,16,,,,
33,46,50,2,18,,,,
31,46,52,2,18,,,,
45,50,51,13,21,,,,
35,50,53,11,21,,,,
44,52,53,5,23,,,,
49,54,54,11,24,,,,
43,56,53,7,25,,,,
40,58,55,3,27,,,,
48,58,54,12,26,,,,
