Job ID, Arrival Time, Wait Time, Run Time, Response Time,,,,CPU Utiliztion
1,4,0,10,0,,,,63.91304348
5,14,2,2,2,,,,
8,17,1,8,1,,,,
4,16,2,12,0,,,,
2,16,3,11,0,,,,
6,19,1,10,1,,,,
12,19,1,3,1,,,,
0,0,10,13,0,,,,
14,20,1,2,1,,,,
11,21,2,7,2,,,,
13,22,2,10,2,,,,
20,22,3,8,3,,,,
23,23,3,9,3,,,,
30,25,5,5,5,,,,
36,27,4,9,4,,,,
38,27,5,2,5,,,,
31,27,5,4,5,,,,
27,27,6,10,6,,,,
25,28,6,8,6,,,,
35,29,6,6,6,,,,
34,30,6,6,6,,,,
37,30,7,1,7,,,,
49,30,7,3,7,,,,
44,31,7,1,7,,,,
43,31,7,8,7,,,,
40,31,8,6,8,,,,
7,18,24,4,1,,,,
15,24,20,5,2,,,,
3,19,23,10,0,,,,
10,24,20,8,1,,,,
16,25,20,1,2,,,,
17,27,19,1,2,,,,
9,26,21,3,3,,,,
26,29,19,6,3,,,,
19,28,20,5,3,,,,
21,30,20,4,4,,,,
22,29,20,7,3,,,,
28,31,20,3,4,,,,
24,30,21,15,4,,,,
32,32,20,8,4,,,,
18,31,21,15,4,,,,
29,35,19,1,5,,,,
33,33,20,8,4,,,,
41,37,19,5,6,,,,
42,36,20,8,6,,,,
46,41,18,7,8,,,,
39,38,19,6,6,,,,
47,42,19,7,9,,,,
48,42,18,8,8,,,,
45,43,18,13,8,,,,
