# Processors, # Jobs, Avg. Turnaround Time, Avg. Response Time, Avg. Wait Time
1,10,-22.8517,16.3926,24.125
2,10,-8.29102,2.67188,5.6875
4,10,-2.53125,0.25,0.625
8,10,0,0,0
1,50,-93.1785,63.5988,111.827
2,50,-46.7761,25.5634,53.57
4,50,-29.6658,7.34763,18.7148
8,50,-22.7697,0.708984,5.86646
1,100,-69.382,147.884,211.853
2,100,-105.17,61.9579,117.336
4,100,-56.399,24.7139,53.2394
8,100,-40.5246,6.07016,19.7222
1,250,-33.5106,193.016,0
2,250,-47.689,186.923,0
4,250,-127.044,82.322,154.111
8,250,-78.6569,33.7999,69.6949
